집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
06:30∼12:00,장위6구역 공사 현장 앞,999,종 암,,장위동
09:00~10:00,영등포구청 앞,200,영등포,,당산동
10:00~11:00,평강제일교회 앞,500,구 로,,오류동
10:00~11:00,평강제일교회 좌측 공터,50,구 로,,오류동
13:00~17:00,안국역 5번 출구 앞 인도 및 1개 차로,"3,000",종 로,,경운동
14:00~15:00,강동구청 앞 인도,100,강 동,,성내동
18:00~20:00,신도림역 광장→디큐브시티아파트,100,구 로,,신도림동
19:00~20:30,송현공원 앞 인도,"20,000",종 로,,송현동
