집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
12:00~13:00,경복궁 주유소 좌‧우측 인도 및 1개 차로,300,종 로,,중학동
13:00~17:00,노인복지센터 앞 인도 및 1개 차로,"3,000",종 로,,경운동
19:00~20:00,평강제일교회 정문 앞 이면도로,500,구 로,,오류동
19:00~20:00,평강제일교회 정문 좌측 공터,50,구 로,,오류동
19:00~20:30,송현공원 앞 인도,"10,000",종 로,,송현동
19:00~21:00,적선R~광화문R 편도 全차로,"10,000",종 로,,
