집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
09:00~12:00,DDP 서측 앞 인도,250,중 부,,광희동
09:30~11:00,평강교회 정문 좌측 공터,50,구 로,,오류동
09:30~11:00,평강제일교회 앞,"1,000",구 로,,오류동
11:00~13:30,동화면세점∼코리아나호텔 앞 편도 全차로,"10,000","종 로
남대문",,세종대로
13:00~16:00,보신각 앞 인도 및 1개 차로→계동 현대빌딩,200,"종 로
혜 화",,세종대로 등
14:00~17:00,교보빌딩 남측 인도→효령빌딩,500,"종 로
남대문",,세종대로 등
14:00~18:00,세종호텔 앞,100,남대문,,명동
15:00~18:00,교보빌딩 앞 인도,300,종 로,,세종대로
