집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
10:00~11:00,평강제일교회 앞,500,구 로,,오류동
10:30~13:00,"중앙우체국 → 운현하늘빌딩
※행진경로(1.8km, 1개차로): 중앙우체국→을1R→종1R
→안국R→운현하늘빌딩",500,남대문,,명동
12:00~未定,안국역 5번 출구 앞 인도 및 2개차로,"3,000",종 로,,경운동
19:00~20:30,송현공원 앞 인도,"3,000",종 로,,송현동
19:00~21:00,"세종호텔 앞 → 운현하늘빌딩
※행진경로(2km,1개차로): 세종호텔→한은R→을1R→종각R
→안국R→운현하늘빌딩",200,"남대문
종 로",,명동 등
